"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","search_date_with_hour","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","19:20","07:15+1","955","1477.0","False","BOD","GRU","0","1","CDG","155.0","Air France","N/A","Light","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 19:20:00","2024-11-23 07:15:00","800.0","0","Friday","evening","long","high","4194366681207426978"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","22:25","15:55+1","1290","1014.0","False","BOD","GRU","0","1","CDG","155.0","Air France","N/A","Light","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 22:25:00","2024-11-23 15:55:00","1135.0","0","Friday","night","long","standard","6496185619042231775"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","15:55","07:15+1","1160","1477.0","False","BOD","GRU","0","1","LIS","570.0","Air France","N/A","Standard","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 15:55:00","2024-11-23 07:15:00","590.0","0","Friday","afternoon","long","high","5169282662680042476"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","17:55","06:30+1","995","1731.0","False","BOD","GRU","N/A","N/A","CDG","155.0","Air France","N/A","Light","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 17:55:00","2024-11-23 06:30:00","840.0","0","Friday","evening","long","high","3826033328725911724"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","12:50","06:25+1","1295","1017.0","False","BOD","GRU","N/A","N/A","CDG","360.0","Volotea","ITA Airways","Light","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 12:50:00","2024-11-23 06:25:00","935.0","0","Friday","afternoon","long","standard","4215224971407419087"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","13:35","06:30+1","1255","1456.0","False","BOD","GRU","N/A","N/A","CDG","155.0","Air France","N/A","Light","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 13:35:00","2024-11-23 06:30:00","1100.0","0","Friday","afternoon","long","high","3467278197740036301"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","22:25","19:10+1","1485","1224.0","False","BOD","GRU","N/A","N/A","MAD","275.0","easyJet","TAP AIR PORTUGAL","Basic","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 22:25:00","2024-11-23 19:10:00","1210.0","0","Friday","night","long","high","3778356192833118603"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","17:40","06:25+1","1005","1859.0","False","BOD","GRU","N/A","N/A","VCE","270.0","Volotea","ITA Airways","Economy","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 17:40:00","2024-11-23 06:25:00","735.0","0","Friday","evening","long","high","5037972073464953402"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","18:15","15:25+1","1510","1308.0","False","BOD","GRU","0","0","BRS","85.0","easyJet","LATAM Airlines","Standard","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 18:15:00","2024-11-23 15:25:00","1425.0","0","Friday","evening","long","high","2586683881626131819"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","17:55","15:25+1","1530","1479.0","False","BOD","GRU","0","0","LIS","570.0","easyJet","LATAM Airlines","Light","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 17:55:00","2024-11-23 15:25:00","960.0","0","Friday","evening","long","high","7373306950663959970"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","10:50","05:05+1","1335","1483.0","False","BOD","GRU","0","0","LIS","745.0","easyJet","LATAM Airlines","Standard","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 10:50:00","2024-11-23 05:05:00","590.0","0","Friday","morning","long","high","41275946777978925"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","22:25","18:35+1","1450","1411.0","False","BOD","GRU","N/A","N/A","FCO","125.0","easyJet","LATAM Airlines","Economy","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 22:25:00","2024-11-23 18:35:00","1325.0","0","Friday","night","long","high","7989572550617679312"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","20:10","07:15+1","905","2529.0","False","BOD","GRU","N/A","N/A","OPO","75.0","Air France","N/A","Standard","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 20:10:00","2024-11-23 07:15:00","830.0","0","Friday","evening","long","high","8950712468013189730"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","21:20","18:35+1","1515","1500.0","False","BOD","GRU","N/A","N/A","MAD","315.0","easyJet","LATAM Airlines","Basic","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 21:20:00","2024-11-23 18:35:00","1200.0","0","Friday","evening","long","high","6475407480255553738"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","18:15","06:40+1","985","2481.0","False","BOD","GRU","N/A","N/A","N/A","","easyJet","TAP AIR PORTUGAL","Light","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 18:15:00","2024-11-23 06:40:00","","0","Friday","evening","long","high","6169779522890268526"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","10:50","06:40+1","1430","2172.0","False","BOD","GRU","N/A","N/A","FCO","70.0","easyJet","TAP AIR PORTUGAL","Standard","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 10:50:00","2024-11-23 06:40:00","1360.0","0","Friday","morning","long","high","1910628632963251628"
"2024-11-22","2024-11-22","BOD","GRU","São Paulo","https://www.kayak.fr/flights/BOD-GRU/2024-11-22?sort=bestflight_a","10:50","07:15+1","1465","3756.0","False","BOD","GRU","0","1","LIS","430.0","Air France","N/A","Standard","44.837789, -0.57918","-23.3822288, -49.50413669609618","9039.73","2024-11-22 06:13:11","2024-11-22 10:50:00","2024-11-23 07:15:00","1035.0","0","Friday","morning","long","high","7714834077925823122"
