"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","origin_coordinates","destination_coordinates","distance_km","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","17:05+1","1035","302.0","False","BOD","SAW","0","1","MXP-LIN","","easyJet","ITA Airways","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 17:05:00","","0","Thursday","evening","long","high","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","17:20+1","1050","164.0","False","BOD","SAW","0","1","MXP-BGY","","easyJet","ITA Airways","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 17:20:00","","0","Thursday","evening","long","standard","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","17:55+1","1085","190.0","False","BOD","SAW","0","1","N/A","","easyJet","ITA Airways","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 17:55:00","","0","Thursday","evening","long","standard","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","12:00+1","730","441.0","False","BOD","IST","N/A","N/A","MXP-BGY","","easyJet","ITA Airways","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 12:00:00","","0","Thursday","evening","long","high","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","20:20+1","1230","211.0","False","BOD","SAW","N/A","N/A","N/A","","easyJet","Pegasus Airlines","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 20:20:00","","0","Thursday","evening","long","standard","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","16:25+1","995","237.0","False","BOD","SAW","N/A","N/A","MXP","460.0","easyJet","ITA Airways","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 16:25:00","535.0","0","Thursday","evening","long","high","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:30","19:25+1","1195","240.0","False","BOD","SAW","N/A","N/A","MXP-BGY","","easyJet","Pegasus Airlines","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:30:00","2024-11-22 19:25:00","","0","Thursday","evening","long","high","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","15:00+1","910","297.0","False","BOD","SAW","N/A","N/A","N/A","","easyJet","Ryanair","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 15:00:00","","0","Thursday","evening","long","high","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","17:50+1","1080","241.0","False","BOD","SAW","0","0","MXP-BGY","","easyJet","Pegasus Airlines","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 17:50:00","","0","Thursday","evening","long","high","7629902789058150146"
"2024-11-21","2024-11-21","BOD","IST","Istanbul","https://www.kayak.fr/flights/BOD-IST/2024-11-21?sort=bestflight_a","21:50","17:05+1","1035","262.0","False","BOD","SAW","0","0","GVA","925.0","easyJet","Pegasus Airlines","Standard","44.837789, -0.57918","48.8501392, 2.3833599","499.92","2024-11-21 21:50:00","2024-11-22 17:05:00","110.0","0","Thursday","evening","long","high","7629902789058150146"
